,ARI,NMI,Silhouette
k-means,0.189,0.213,0.072
k-means + pca,0.147,0.192,0.064
k-means + tsne,0.118,0.16,0.043
k-means + umap,0.154,0.191,0.047
Birch,0.068,0.117,0.024
Birch + pca,0.157,0.194,0.045
Birch + tsne,0.082,0.138,0.027
Birch + umap,0.141,0.189,0.048
GMM,0.119,0.155,0.041
GMM + pca,0.148,0.171,0.051
GMM + tsne,0.106,0.141,0.03
GMM + umap,0.163,0.165,0.04
PAM,0.112,0.152,0.06
PAM + pca,0.151,0.196,0.064
PAM + tsne,0.113,0.152,0.039
PAM + umap,0.152,0.188,0.049
Spectral Clustering,0.172,0.185,0.063
Spectral Clustering + pca,0.132,0.19,0.061
Spectral Clustering + tsne,0.084,0.142,0.037
Spectral Clustering + umap,0.12,0.172,0.049
