,ARI,NMI,Silhouette
k-means,0.262,0.419,0.142
k-means + pca,0.244,0.396,0.374
k-means + tsne,0.305,0.464,0.401
k-means + umap,0.494,0.606,0.473
Birch,0.267,0.417,0.123
Birch + pca,0.299,0.434,0.371
Birch + tsne,0.287,0.437,0.359
Birch + umap,0.357,0.491,0.572
GMM,0.334,0.499,0.116
GMM + pca,0.248,0.431,0.355
GMM + tsne,0.299,0.457,0.394
GMM + umap,0.532,0.637,0.417
PAM,0.288,0.419,0.115
PAM + pca,0.262,0.403,0.374
PAM + tsne,0.308,0.468,0.4
PAM + umap,0.365,0.528,0.386
Spectral Clustering,0.371,0.514,0.136
Spectral Clustering + pca,0.254,0.394,0.377
Spectral Clustering + tsne,0.347,0.498,0.355
Spectral Clustering + umap,0.365,0.529,0.38
