,ARI,NMI,Silhouette
k-means,0.411,0.461,0.15
k-means + pca,0.407,0.456,0.149
k-means + tsne,0.313,0.316,0.09
k-means + umap,0.396,0.458,0.143
Birch,0.334,0.375,0.115
Birch + pca,0.392,0.45,0.15
Birch + tsne,0.166,0.217,0.056
Birch + umap,0.399,0.458,0.143
GMM,0.294,0.345,0.121
GMM + pca,0.393,0.411,0.144
GMM + tsne,0.272,0.388,0.119
GMM + umap,0.352,0.454,0.143
PAM,0.353,0.433,0.142
PAM + pca,0.412,0.457,0.149
PAM + tsne,0.346,0.338,0.096
PAM + umap,0.401,0.458,0.143
Spectral Clustering,0.374,0.469,0.147
Spectral Clustering + pca,0.4,0.449,0.149
Spectral Clustering + tsne,0.329,0.327,0.078
Spectral Clustering + umap,0.366,0.456,0.143
