,ARI,NMI,Silhouette
k-means,0.218,0.32,0.104
k-means + pca,0.212,0.316,0.367
k-means + tsne,0.217,0.314,0.38
k-means + umap,0.22,0.325,0.343
Birch,0.145,0.263,0.075
Birch + pca,0.213,0.296,0.339
Birch + tsne,0.202,0.296,0.338
Birch + umap,0.284,0.385,0.493
GMM,0.272,0.392,0.107
GMM + pca,0.231,0.329,0.2
GMM + tsne,0.191,0.317,0.321
GMM + umap,0.289,0.385,0.253
PAM,0.155,0.242,0.086
PAM + pca,0.209,0.306,0.357
PAM + tsne,0.216,0.312,0.382
PAM + umap,0.221,0.324,0.341
Spectral Clustering,0.28,0.363,0.102
Spectral Clustering + pca,0.203,0.304,0.361
Spectral Clustering + tsne,0.202,0.294,0.354
Spectral Clustering + umap,0.227,0.328,0.298
