,ARI,NMI,Silhouette
k-means,0.231,0.282,0.08
k-means + pca,0.228,0.272,0.235
k-means + tsne,0.152,0.207,0.264
k-means + umap,0.244,0.284,0.3
Birch,0.137,0.183,0.021
Birch + pca,0.246,0.258,0.192
Birch + tsne,0.083,0.182,0.18
Birch + umap,0.26,0.289,0.338
GMM,0.161,0.204,0.037
GMM + pca,0.158,0.225,0.182
GMM + tsne,0.132,0.182,0.217
GMM + umap,0.208,0.247,0.266
PAM,0.179,0.217,0.062
PAM + pca,0.218,0.267,0.228
PAM + tsne,0.141,0.203,0.263
PAM + umap,0.242,0.28,0.3
Spectral Clustering,0.228,0.263,0.072
Spectral Clustering + pca,0.184,0.25,0.22
Spectral Clustering + tsne,0.122,0.187,0.254
Spectral Clustering + umap,0.22,0.271,0.257
