,ARI,NMI,Silhouette
k-means,0.261,0.335,0.084
k-means + pca,0.211,0.291,0.315
k-means + tsne,0.172,0.226,0.274
k-means + umap,0.254,0.33,0.284
Birch,0.222,0.255,0.033
Birch + pca,0.218,0.279,0.325
Birch + tsne,0.148,0.221,0.214
Birch + umap,0.289,0.338,0.414
GMM,0.213,0.257,0.04
GMM + pca,0.217,0.294,0.295
GMM + tsne,0.094,0.189,0.195
GMM + umap,0.262,0.312,0.252
PAM,0.205,0.281,0.074
PAM + pca,0.211,0.291,0.31
PAM + tsne,0.169,0.226,0.272
PAM + umap,0.287,0.335,0.314
Spectral Clustering,0.304,0.355,0.089
Spectral Clustering + pca,0.168,0.254,0.303
Spectral Clustering + tsne,0.113,0.19,0.245
Spectral Clustering + umap,0.282,0.334,0.31
