,ARI,NMI,Silhouette
k-means,0.362,0.414,0.162
k-means + pca,0.356,0.405,0.425
k-means + tsne,0.329,0.366,0.463
k-means + umap,0.373,0.431,0.482
Birch,0.298,0.38,0.116
Birch + pca,0.345,0.436,0.385
Birch + tsne,0.179,0.238,0.38
Birch + umap,0.373,0.437,0.481
GMM,0.424,0.507,0.102
GMM + pca,0.208,0.289,0.285
GMM + tsne,0.358,0.375,0.447
GMM + umap,0.358,0.423,0.436
PAM,0.314,0.358,0.158
PAM + pca,0.365,0.414,0.425
PAM + tsne,0.331,0.369,0.463
PAM + umap,0.374,0.429,0.482
Spectral Clustering,0.362,0.448,0.158
Spectral Clustering + pca,0.364,0.418,0.424
Spectral Clustering + tsne,0.335,0.37,0.463
Spectral Clustering + umap,0.358,0.45,0.471
