,ARI,NMI,Silhouette
k-means,0.344,0.354,0.107
k-means + pca,0.337,0.347,0.106
k-means + tsne,0.269,0.261,0.084
k-means + umap,0.325,0.328,0.098
Birch,0.236,0.231,0.063
Birch + pca,0.307,0.337,0.106
Birch + tsne,0.245,0.193,0.057
Birch + umap,0.319,0.324,0.098
GMM,0.262,0.331,0.088
GMM + pca,0.267,0.302,0.099
GMM + tsne,0.246,0.236,0.081
GMM + umap,0.287,0.322,0.096
PAM,0.238,0.233,0.088
PAM + pca,0.339,0.347,0.106
PAM + tsne,0.275,0.261,0.084
PAM + umap,0.316,0.328,0.098
Spectral Clustering,0.317,0.346,0.101
Spectral Clustering + pca,0.333,0.341,0.106
Spectral Clustering + tsne,0.259,0.255,0.082
Spectral Clustering + umap,0.304,0.327,0.097
