,ARI,NMI,Silhouette
k-means,0.545,0.683,0.158
k-means + pca,0.328,0.527,0.104
k-means + tsne,0.463,0.604,0.109
k-means + umap,0.576,0.7,0.151
Birch,0.417,0.584,0.116
Birch + pca,0.359,0.523,0.104
Birch + tsne,0.453,0.589,0.082
Birch + umap,0.583,0.703,0.152
GMM,0.556,0.739,0.153
GMM + pca,0.296,0.481,0.083
GMM + tsne,0.389,0.56,0.087
GMM + umap,0.568,0.686,0.139
PAM,0.461,0.606,0.127
PAM + pca,0.358,0.543,0.107
PAM + tsne,0.434,0.584,0.105
PAM + umap,0.585,0.702,0.152
Spectral Clustering,0.614,0.729,0.16
Spectral Clustering + pca,0.312,0.522,0.104
Spectral Clustering + tsne,0.569,0.699,0.148
Spectral Clustering + umap,0.527,0.669,0.118
