,ARI,NMI,Silhouette
k-means,0.332,0.428,0.09
k-means + pca,0.23,0.365,0.07
k-means + tsne,0.26,0.366,0.051
k-means + umap,0.308,0.415,0.068
Birch,0.223,0.319,0.045
Birch + pca,0.221,0.35,0.07
Birch + tsne,0.205,0.316,0.033
Birch + umap,0.286,0.37,0.125
GMM,0.208,0.36,0.044
GMM + pca,0.233,0.363,0.061
GMM + tsne,0.165,0.304,0.033
GMM + umap,0.265,0.393,0.064
PAM,0.325,0.432,0.09
PAM + pca,0.234,0.354,0.065
PAM + tsne,0.282,0.387,0.06
PAM + umap,0.383,0.45,0.084
Spectral Clustering,0.392,0.471,0.093
Spectral Clustering + pca,0.201,0.334,0.066
Spectral Clustering + tsne,0.252,0.367,0.057
Spectral Clustering + umap,0.363,0.444,0.086
