,ARI,NMI,Silhouette
k-means,0.456,0.493,0.14
k-means + pca,0.447,0.482,0.14
k-means + tsne,0.37,0.367,0.103
k-means + umap,0.444,0.471,0.132
Birch,0.309,0.338,0.098
Birch + pca,0.343,0.45,0.13
Birch + tsne,0.393,0.352,0.086
Birch + umap,0.385,0.462,0.131
GMM,0.365,0.469,0.129
GMM + pca,0.367,0.33,0.091
GMM + tsne,0.158,0.234,0.077
GMM + umap,0.365,0.457,0.133
PAM,0.391,0.428,0.129
PAM + pca,0.449,0.484,0.14
PAM + tsne,0.373,0.361,0.102
PAM + umap,0.446,0.476,0.132
Spectral Clustering,0.435,0.483,0.137
Spectral Clustering + pca,0.45,0.477,0.139
Spectral Clustering + tsne,0.381,0.365,0.099
Spectral Clustering + umap,0.422,0.465,0.131
