,ARI,NMI,Silhouette
k-means,0.279,0.268,0.086
k-means + pca,0.279,0.264,0.085
k-means + tsne,0.16,0.159,0.061
k-means + umap,0.245,0.24,0.076
Birch,0.151,0.128,0.042
Birch + pca,0.167,0.185,0.075
Birch + tsne,0.091,0.118,0.039
Birch + umap,0.217,0.221,0.069
GMM,0.084,0.114,0.061
GMM + pca,0.187,0.235,0.057
GMM + tsne,0.083,0.118,0.051
GMM + umap,0.119,0.147,0.058
PAM,0.157,0.173,0.074
PAM + pca,0.275,0.262,0.085
PAM + tsne,0.2,0.199,0.062
PAM + umap,0.237,0.238,0.075
Spectral Clustering,0.279,0.258,0.081
Spectral Clustering + pca,0.262,0.259,0.085
Spectral Clustering + tsne,0.197,0.186,0.058
Spectral Clustering + umap,0.235,0.23,0.074
