,ARI,NMI,Silhouette
k-means,0.19,0.272,0.08
k-means + pca,0.131,0.225,0.333
k-means + tsne,0.141,0.229,0.35
k-means + umap,0.185,0.271,0.31
Birch,0.149,0.206,0.027
Birch + pca,0.21,0.248,0.381
Birch + tsne,0.146,0.239,0.299
Birch + umap,0.219,0.27,0.409
GMM,0.272,0.308,0.016
GMM + pca,0.154,0.218,0.309
GMM + tsne,0.141,0.231,0.278
GMM + umap,0.165,0.264,0.272
PAM,0.157,0.238,0.062
PAM + pca,0.138,0.23,0.315
PAM + tsne,0.155,0.243,0.352
PAM + umap,0.174,0.265,0.3
Spectral Clustering,0.175,0.268,0.072
Spectral Clustering + pca,0.125,0.223,0.307
Spectral Clustering + tsne,0.121,0.222,0.326
Spectral Clustering + umap,0.154,0.267,0.259
