,ARI,NMI,Silhouette
k-means,0.054,0.074,0.064
k-means + pca,0.067,0.089,0.221
k-means + tsne,0.046,0.063,0.238
k-means + umap,0.052,0.073,0.272
Birch,0.03,0.036,0.004
Birch + pca,0.039,0.073,0.177
Birch + tsne,0.03,0.061,0.186
Birch + umap,0.067,0.078,0.241
GMM,0.009,0.035,0.038
GMM + pca,0.067,0.067,0.175
GMM + tsne,0.038,0.058,0.218
GMM + umap,0.056,0.072,0.225
PAM,0.044,0.061,0.058
PAM + pca,0.071,0.09,0.215
PAM + tsne,0.049,0.066,0.25
PAM + umap,0.055,0.073,0.269
Spectral Clustering,0.053,0.067,0.057
Spectral Clustering + pca,0.059,0.092,0.203
Spectral Clustering + tsne,0.043,0.064,0.246
Spectral Clustering + umap,0.056,0.073,0.265
