,ARI,NMI,Silhouette
k-means,0.197,0.265,0.075
k-means + pca,0.154,0.233,0.224
k-means + tsne,0.123,0.2,0.256
k-means + umap,0.178,0.247,0.281
Birch,0.11,0.166,0.017
Birch + pca,0.136,0.229,0.189
Birch + tsne,0.114,0.18,0.171
Birch + umap,0.154,0.226,0.297
GMM,0.07,0.167,0.024
GMM + pca,0.142,0.232,0.152
GMM + tsne,0.106,0.191,0.222
GMM + umap,0.169,0.23,0.223
PAM,0.136,0.218,0.062
PAM + pca,0.135,0.223,0.215
PAM + tsne,0.125,0.201,0.248
PAM + umap,0.152,0.239,0.28
Spectral Clustering,0.184,0.249,0.067
Spectral Clustering + pca,0.126,0.229,0.214
Spectral Clustering + tsne,0.124,0.206,0.233
Spectral Clustering + umap,0.136,0.223,0.251
