,ARI,NMI,Silhouette
k-means,0.326,0.409,0.091
k-means + pca,0.237,0.358,0.071
k-means + tsne,0.223,0.3,0.051
k-means + umap,0.323,0.419,0.078
Birch,0.271,0.352,0.057
Birch + pca,0.231,0.347,0.073
Birch + tsne,0.178,0.266,0.028
Birch + umap,0.27,0.397,0.108
GMM,0.334,0.429,0.082
GMM + pca,0.263,0.369,0.103
GMM + tsne,0.191,0.287,0.035
GMM + umap,0.311,0.418,0.073
PAM,0.278,0.374,0.086
PAM + pca,0.246,0.37,0.067
PAM + tsne,0.246,0.311,0.054
PAM + umap,0.426,0.476,0.1
Spectral Clustering,0.392,0.469,0.109
Spectral Clustering + pca,0.232,0.333,0.072
Spectral Clustering + tsne,0.175,0.27,0.044
Spectral Clustering + umap,0.408,0.463,0.102
