,ARI,NMI,Silhouette
k-means,0.337,0.482,0.115
k-means + pca,0.205,0.361,0.345
k-means + tsne,0.355,0.502,0.413
k-means + umap,0.432,0.599,0.426
Birch,0.339,0.5,0.085
Birch + pca,0.202,0.351,0.344
Birch + tsne,0.366,0.524,0.382
Birch + umap,0.386,0.558,0.377
GMM,0.469,0.576,0.069
GMM + pca,0.208,0.357,0.312
GMM + tsne,0.286,0.458,0.279
GMM + umap,0.448,0.617,0.399
PAM,0.324,0.46,0.104
PAM + pca,0.202,0.358,0.337
PAM + tsne,0.366,0.53,0.411
PAM + umap,0.429,0.6,0.425
Spectral Clustering,0.427,0.61,0.127
Spectral Clustering + pca,0.185,0.336,0.33
Spectral Clustering + tsne,0.322,0.514,0.386
Spectral Clustering + umap,0.543,0.657,0.448
