,ARI,NMI,Silhouette
k-means,0.38,0.466,0.093
k-means + pca,0.257,0.382,0.229
k-means + tsne,0.238,0.344,0.264
k-means + umap,0.408,0.462,0.354
Birch,0.202,0.327,0.039
Birch + pca,0.232,0.355,0.192
Birch + tsne,0.213,0.315,0.189
Birch + umap,0.38,0.424,0.322
GMM,0.261,0.392,0.043
GMM + pca,0.22,0.357,0.182
GMM + tsne,0.189,0.296,0.196
GMM + umap,0.364,0.452,0.291
PAM,0.261,0.36,0.066
PAM + pca,0.258,0.384,0.231
PAM + tsne,0.249,0.35,0.265
PAM + umap,0.406,0.465,0.354
Spectral Clustering,0.492,0.496,0.089
Spectral Clustering + pca,0.25,0.372,0.228
Spectral Clustering + tsne,0.273,0.373,0.228
Spectral Clustering + umap,0.471,0.483,0.337
