,ARI,NMI,Silhouette
k-means,0.12,0.147,0.068
k-means + pca,0.121,0.154,0.218
k-means + tsne,0.09,0.12,0.258
k-means + umap,0.112,0.13,0.26
Birch,0.04,0.069,0.015
Birch + pca,0.097,0.145,0.186
Birch + tsne,0.072,0.091,0.186
Birch + umap,0.124,0.138,0.288
GMM,-0.001,0.065,0.033
GMM + pca,0.111,0.144,0.168
GMM + tsne,0.067,0.103,0.187
GMM + umap,0.102,0.12,0.244
PAM,0.071,0.112,0.058
PAM + pca,0.119,0.148,0.211
PAM + tsne,0.092,0.12,0.255
PAM + umap,0.115,0.135,0.272
Spectral Clustering,0.107,0.125,0.061
Spectral Clustering + pca,0.109,0.151,0.183
Spectral Clustering + tsne,0.091,0.118,0.243
Spectral Clustering + umap,0.084,0.119,0.258
