,ARI,NMI,Silhouette
k-means,0.314,0.33,0.108
k-means + pca,0.311,0.323,0.376
k-means + tsne,0.2,0.206,0.264
k-means + umap,0.298,0.303,0.367
Birch,0.215,0.215,0.064
Birch + pca,0.292,0.317,0.374
Birch + tsne,0.213,0.226,0.217
Birch + umap,0.29,0.299,0.366
GMM,0.074,0.134,0.061
GMM + pca,0.135,0.199,0.251
GMM + tsne,0.224,0.221,0.247
GMM + umap,0.244,0.299,0.316
PAM,0.273,0.278,0.106
PAM + pca,0.312,0.322,0.376
PAM + tsne,0.215,0.219,0.26
PAM + umap,0.303,0.318,0.364
Spectral Clustering,0.285,0.322,0.104
Spectral Clustering + pca,0.303,0.314,0.375
Spectral Clustering + tsne,0.204,0.213,0.259
Spectral Clustering + umap,0.301,0.314,0.361
