,ARI,NMI,Silhouette
k-means,0.229,0.301,0.074
k-means + pca,0.16,0.242,0.058
k-means + tsne,0.134,0.206,0.036
k-means + umap,0.178,0.253,0.042
Birch,0.163,0.179,0.019
Birch + pca,0.156,0.248,0.054
Birch + tsne,0.128,0.206,0.023
Birch + umap,0.241,0.256,0.089
GMM,0.159,0.211,0.026
GMM + pca,0.186,0.258,0.05
GMM + tsne,0.13,0.201,0.025
GMM + umap,0.145,0.233,0.043
PAM,0.15,0.242,0.058
PAM + pca,0.155,0.252,0.055
PAM + tsne,0.15,0.22,0.037
PAM + umap,0.194,0.258,0.046
Spectral Clustering,0.203,0.26,0.064
Spectral Clustering + pca,0.147,0.239,0.052
Spectral Clustering + tsne,0.142,0.216,0.033
Spectral Clustering + umap,0.181,0.254,0.051
