,ARI,NMI,Silhouette
k-means,0.041,0.064,0.062
k-means + pca,0.048,0.072,0.169
k-means + tsne,0.041,0.06,0.25
k-means + umap,0.046,0.07,0.279
Birch,0.028,0.033,0.002
Birch + pca,0.056,0.063,0.112
Birch + tsne,0.034,0.048,0.177
Birch + umap,0.051,0.066,0.248
GMM,0.021,0.038,0.015
GMM + pca,0.016,0.064,0.124
GMM + tsne,0.046,0.056,0.195
GMM + umap,0.049,0.069,0.237
PAM,0.037,0.059,0.056
PAM + pca,0.045,0.074,0.164
PAM + tsne,0.031,0.053,0.247
PAM + umap,0.052,0.069,0.266
Spectral Clustering,0.033,0.052,0.054
Spectral Clustering + pca,0.041,0.078,0.158
Spectral Clustering + tsne,0.025,0.053,0.246
Spectral Clustering + umap,0.038,0.063,0.262
