,ARI,NMI,Silhouette
k-means,0.185,0.18,0.078
k-means + pca,0.18,0.176,0.237
k-means + tsne,0.146,0.14,0.249
k-means + umap,0.151,0.149,0.29
Birch,0.06,0.08,0.035
Birch + pca,0.128,0.147,0.202
Birch + tsne,0.064,0.074,0.185
Birch + umap,0.121,0.125,0.261
GMM,-0.0,0.04,0.047
GMM + pca,0.029,0.095,0.177
GMM + tsne,0.075,0.1,0.229
GMM + umap,0.079,0.088,0.227
PAM,0.07,0.087,0.062
PAM + pca,0.171,0.174,0.236
PAM + tsne,0.148,0.142,0.248
PAM + umap,0.159,0.151,0.289
Spectral Clustering,0.179,0.174,0.073
Spectral Clustering + pca,0.177,0.176,0.236
Spectral Clustering + tsne,0.14,0.136,0.244
Spectral Clustering + umap,0.148,0.146,0.286
