,ARI,NMI,Silhouette
k-means,0.364,0.453,0.093
k-means + pca,0.269,0.375,0.233
k-means + tsne,0.254,0.375,0.358
k-means + umap,0.307,0.422,0.316
Birch,0.239,0.344,0.041
Birch + pca,0.242,0.368,0.226
Birch + tsne,0.207,0.349,0.304
Birch + umap,0.388,0.43,0.345
GMM,0.267,0.415,0.037
GMM + pca,0.261,0.378,0.181
GMM + tsne,0.263,0.374,0.305
GMM + umap,0.259,0.41,0.249
PAM,0.289,0.374,0.08
PAM + pca,0.233,0.355,0.228
PAM + tsne,0.235,0.37,0.369
PAM + umap,0.324,0.429,0.316
Spectral Clustering,0.444,0.493,0.093
Spectral Clustering + pca,0.215,0.344,0.216
Spectral Clustering + tsne,0.221,0.361,0.342
Spectral Clustering + umap,0.442,0.484,0.364
