,ARI,NMI,Silhouette
k-means,0.512,0.518,0.13
k-means + pca,0.52,0.52,0.417
k-means + tsne,0.362,0.376,0.382
k-means + umap,0.488,0.485,0.428
Birch,0.459,0.42,0.093
Birch + pca,0.372,0.431,0.365
Birch + tsne,0.44,0.434,0.361
Birch + umap,0.49,0.485,0.428
GMM,0.38,0.476,0.123
GMM + pca,0.519,0.523,0.402
GMM + tsne,0.286,0.318,0.348
GMM + umap,0.456,0.469,0.415
PAM,0.463,0.427,0.125
PAM + pca,0.522,0.518,0.417
PAM + tsne,0.423,0.451,0.38
PAM + umap,0.496,0.488,0.428
Spectral Clustering,0.552,0.524,0.125
Spectral Clustering + pca,0.505,0.507,0.415
Spectral Clustering + tsne,0.319,0.334,0.386
Spectral Clustering + umap,0.494,0.49,0.425
