,ARI,NMI,Silhouette
k-means,0.284,0.335,0.083
k-means + pca,0.267,0.33,0.235
k-means + tsne,0.253,0.303,0.374
k-means + umap,0.334,0.359,0.331
Birch,0.261,0.259,0.038
Birch + pca,0.24,0.31,0.195
Birch + tsne,0.157,0.262,0.334
Birch + umap,0.301,0.338,0.326
GMM,0.341,0.288,0.046
GMM + pca,0.183,0.287,0.2
GMM + tsne,0.238,0.294,0.35
GMM + umap,0.231,0.331,0.264
PAM,0.225,0.287,0.073
PAM + pca,0.261,0.329,0.232
PAM + tsne,0.252,0.302,0.374
PAM + umap,0.263,0.327,0.29
Spectral Clustering,0.317,0.357,0.083
Spectral Clustering + pca,0.248,0.311,0.225
Spectral Clustering + tsne,0.217,0.299,0.358
Spectral Clustering + umap,0.278,0.336,0.296
