,ARI,NMI,Silhouette
k-means,0.403,0.411,0.046
k-means + pca,0.39,0.405,0.046
k-means + tsne,0.255,0.28,0.03
k-means + umap,0.336,0.345,0.036
Birch,0.293,0.223,0.005
Birch + pca,0.167,0.245,0.033
Birch + tsne,0.211,0.222,0.012
Birch + umap,0.212,0.209,0.057
GMM,0.258,0.257,0.012
GMM + pca,0.152,0.221,0.02
GMM + tsne,0.152,0.2,0.016
GMM + umap,0.375,0.328,0.029
PAM,0.134,0.118,0.024
PAM + pca,0.358,0.385,0.045
PAM + tsne,0.248,0.284,0.03
PAM + umap,0.341,0.343,0.036
Spectral Clustering,0.415,0.381,0.039
Spectral Clustering + pca,0.414,0.408,0.043
Spectral Clustering + tsne,0.223,0.275,0.029
Spectral Clustering + umap,0.337,0.342,0.036
