,ARI,NMI,Silhouette
k-means,0.346,0.364,0.046
k-means + pca,0.335,0.36,0.044
k-means + tsne,0.204,0.229,0.018
k-means + umap,0.268,0.292,0.021
Birch,0.229,0.214,0.002
Birch + pca,0.227,0.272,0.031
Birch + tsne,0.159,0.205,0.01
Birch + umap,0.315,0.308,0.038
GMM,0.109,0.165,0.005
GMM + pca,0.185,0.28,0.027
GMM + tsne,0.166,0.207,0.014
GMM + umap,0.205,0.268,0.02
PAM,0.067,0.099,0.024
PAM + pca,0.325,0.342,0.04
PAM + tsne,0.202,0.226,0.017
PAM + umap,0.263,0.29,0.022
Spectral Clustering,0.338,0.336,0.037
Spectral Clustering + pca,0.306,0.339,0.041
Spectral Clustering + tsne,0.182,0.231,0.014
Spectral Clustering + umap,0.24,0.296,0.019
