,ARI,NMI,Silhouette
k-means,0.51,0.575,0.074
k-means + pca,0.493,0.554,0.074
k-means + tsne,0.395,0.469,0.059
k-means + umap,0.513,0.569,0.07
Birch,0.421,0.458,0.049
Birch + pca,0.348,0.456,0.065
Birch + tsne,0.377,0.393,0.024
Birch + umap,0.492,0.564,0.07
GMM,0.763,0.689,0.038
GMM + pca,0.689,0.609,0.04
GMM + tsne,0.293,0.41,0.056
GMM + umap,0.537,0.556,0.047
PAM,0.224,0.291,0.041
PAM + pca,0.472,0.534,0.073
PAM + tsne,0.394,0.464,0.058
PAM + umap,0.577,0.594,0.067
Spectral Clustering,0.639,0.63,0.066
Spectral Clustering + pca,0.523,0.597,0.07
Spectral Clustering + tsne,0.378,0.478,0.061
Spectral Clustering + umap,0.657,0.63,0.061
