,ARI,NMI,Silhouette
k-means,0.444,0.428,0.052
k-means + pca,0.428,0.418,0.052
k-means + tsne,0.227,0.273,0.04
k-means + umap,0.427,0.382,0.045
Birch,0.397,0.269,0.015
Birch + pca,0.15,0.268,0.026
Birch + tsne,0.121,0.13,0.017
Birch + umap,0.337,0.315,0.065
GMM,0.582,0.42,0.018
GMM + pca,0.404,0.343,0.026
GMM + tsne,0.069,0.225,0.044
GMM + umap,0.484,0.386,0.041
PAM,0.041,0.062,0.03
PAM + pca,0.43,0.417,0.052
PAM + tsne,0.247,0.293,0.042
PAM + umap,0.425,0.38,0.045
Spectral Clustering,0.554,0.439,0.044
Spectral Clustering + pca,0.535,0.457,0.047
Spectral Clustering + tsne,0.288,0.31,0.043
Spectral Clustering + umap,0.478,0.388,0.043
