,ARI,NMI,Silhouette
k-means,0.325,0.436,0.092
k-means + pca,0.443,0.525,0.083
k-means + tsne,0.282,0.366,0.065
k-means + umap,0.601,0.58,0.072
Birch,0.309,0.42,0.065
Birch + pca,0.402,0.455,0.071
Birch + tsne,0.158,0.274,0.047
Birch + umap,0.734,0.648,0.061
GMM,0.554,0.55,0.077
GMM + pca,0.836,0.736,0.048
GMM + tsne,0.141,0.213,0.023
GMM + umap,0.747,0.655,0.06
PAM,0.299,0.369,0.058
PAM + pca,0.504,0.55,0.082
PAM + tsne,0.367,0.428,0.07
PAM + umap,0.644,0.602,0.069
Spectral Clustering,0.71,0.651,0.069
Spectral Clustering + pca,0.741,0.669,0.068
Spectral Clustering + tsne,0.322,0.407,0.069
Spectral Clustering + umap,0.701,0.633,0.066
