,ARI,NMI,Silhouette
k-means,0.102,0.153,0.134
k-means + pca,0.098,0.148,0.219
k-means + tsne,0.079,0.138,0.265
k-means + umap,0.1,0.161,0.269
Birch,0.059,0.113,0.074
Birch + pca,0.106,0.139,0.217
Birch + tsne,0.071,0.119,0.198
Birch + umap,0.136,0.159,0.252
GMM,0.097,0.133,0.081
GMM + pca,0.084,0.138,0.132
GMM + tsne,0.07,0.12,0.239
GMM + umap,0.095,0.151,0.218
PAM,0.105,0.161,0.124
PAM + pca,0.089,0.146,0.212
PAM + tsne,0.078,0.134,0.271
PAM + umap,0.095,0.156,0.276
Spectral Clustering,0.099,0.151,0.129
Spectral Clustering + pca,0.099,0.155,0.193
Spectral Clustering + tsne,0.089,0.12,0.112
Spectral Clustering + umap,0.103,0.152,0.263
