,ARI,NMI,Silhouette
k-means,0.122,0.182,0.138
k-means + pca,0.106,0.187,0.323
k-means + tsne,0.121,0.19,0.364
k-means + umap,0.124,0.189,0.282
Birch,0.095,0.153,0.077
Birch + pca,0.127,0.162,0.326
Birch + tsne,0.133,0.187,0.314
Birch + umap,0.167,0.191,0.232
GMM,0.096,0.156,0.092
GMM + pca,0.115,0.18,0.284
GMM + tsne,0.106,0.184,0.326
GMM + umap,0.127,0.176,0.231
PAM,0.116,0.18,0.129
PAM + pca,0.112,0.186,0.315
PAM + tsne,0.113,0.179,0.374
PAM + umap,0.121,0.186,0.268
Spectral Clustering,0.129,0.188,0.133
Spectral Clustering + pca,0.106,0.18,0.287
Spectral Clustering + tsne,0.129,0.183,0.15
Spectral Clustering + umap,0.129,0.183,0.271
