,ARI,NMI,Silhouette
k-means,0.041,0.055,0.131
k-means + pca,0.063,0.077,0.214
k-means + tsne,0.05,0.066,0.272
k-means + umap,0.061,0.08,0.274
Birch,0.04,0.052,0.073
Birch + pca,0.064,0.074,0.22
Birch + tsne,0.032,0.054,0.196
Birch + umap,0.083,0.078,0.215
GMM,0.014,0.047,0.091
GMM + pca,0.056,0.072,0.149
GMM + tsne,0.033,0.05,0.222
GMM + umap,0.052,0.076,0.256
PAM,0.055,0.067,0.128
PAM + pca,0.06,0.073,0.217
PAM + tsne,0.049,0.062,0.267
PAM + umap,0.066,0.08,0.26
Spectral Clustering,0.054,0.067,0.13
Spectral Clustering + pca,0.065,0.077,0.143
Spectral Clustering + tsne,0.045,0.059,0.165
Spectral Clustering + umap,0.062,0.07,0.183
