,ARI,NMI,Silhouette
k-means,0.299,0.321,0.172
k-means + pca,0.272,0.297,0.239
k-means + tsne,0.251,0.274,0.396
k-means + umap,0.304,0.322,0.337
Birch,0.287,0.307,0.125
Birch + pca,0.255,0.286,0.227
Birch + tsne,0.078,0.106,0.31
Birch + umap,0.252,0.286,0.311
GMM,0.264,0.297,0.135
GMM + pca,0.214,0.266,0.183
GMM + tsne,0.222,0.251,0.391
GMM + umap,0.27,0.326,0.297
PAM,0.349,0.34,0.173
PAM + pca,0.341,0.346,0.248
PAM + tsne,0.251,0.274,0.395
PAM + umap,0.3,0.322,0.335
Spectral Clustering,0.31,0.333,0.169
Spectral Clustering + pca,0.293,0.313,0.252
Spectral Clustering + tsne,-0.022,0.067,0.064
Spectral Clustering + umap,0.313,0.329,0.332
