,ARI,NMI,Silhouette
k-means,0.186,0.264,0.149
k-means + pca,0.145,0.248,0.324
k-means + tsne,0.161,0.241,0.282
k-means + umap,0.204,0.279,0.299
Birch,0.169,0.241,0.091
Birch + pca,0.204,0.238,0.348
Birch + tsne,0.118,0.205,0.212
Birch + umap,0.225,0.281,0.3
GMM,0.082,0.193,0.064
GMM + pca,0.207,0.246,0.265
GMM + tsne,0.177,0.232,0.205
GMM + umap,0.196,0.26,0.233
PAM,0.188,0.265,0.13
PAM + pca,0.153,0.251,0.309
PAM + tsne,0.162,0.243,0.282
PAM + umap,0.211,0.281,0.303
Spectral Clustering,0.194,0.269,0.142
Spectral Clustering + pca,0.142,0.244,0.295
Spectral Clustering + tsne,0.149,0.23,0.23
Spectral Clustering + umap,0.196,0.269,0.279
