,ARI,NMI,Silhouette
k-means,0.302,0.394,0.169
k-means + pca,0.231,0.349,0.324
k-means + tsne,0.245,0.352,0.289
k-means + umap,0.294,0.404,0.323
Birch,0.287,0.356,0.122
Birch + pca,0.273,0.331,0.367
Birch + tsne,0.19,0.329,0.22
Birch + umap,0.348,0.422,0.328
GMM,0.219,0.368,0.084
GMM + pca,0.24,0.35,0.276
GMM + tsne,0.229,0.343,0.241
GMM + umap,0.259,0.395,0.278
PAM,0.278,0.386,0.157
PAM + pca,0.24,0.358,0.321
PAM + tsne,0.247,0.349,0.289
PAM + umap,0.345,0.424,0.32
Spectral Clustering,0.292,0.395,0.162
Spectral Clustering + pca,0.22,0.347,0.312
Spectral Clustering + tsne,0.226,0.324,0.159
Spectral Clustering + umap,0.29,0.402,0.311
