,ARI,NMI,Silhouette
k-means,0.745,0.694,0.302
k-means + pca,0.699,0.651,0.295
k-means + tsne,0.831,0.76,0.295
k-means + umap,0.869,0.795,0.297
Birch,0.337,0.456,0.153
Birch + pca,0.804,0.718,0.293
Birch + tsne,0.78,0.687,0.271
Birch + umap,0.872,0.798,0.297
GMM,0.885,0.81,0.298
GMM + pca,0.799,0.713,0.289
GMM + tsne,0.858,0.779,0.293
GMM + umap,0.874,0.8,0.297
PAM,0.809,0.742,0.302
PAM + pca,0.73,0.671,0.297
PAM + tsne,0.809,0.74,0.295
PAM + umap,0.869,0.796,0.297
Spectral Clustering,0.866,0.794,0.301
Spectral Clustering + pca,0.71,0.654,0.294
Spectral Clustering + tsne,0.828,0.74,0.285
Spectral Clustering + umap,0.872,0.798,0.297
