,ARI,NMI,Silhouette
k-means,0.135,0.191,0.141
k-means + pca,0.115,0.173,0.221
k-means + tsne,0.104,0.164,0.267
k-means + umap,0.134,0.184,0.279
Birch,0.095,0.132,0.051
Birch + pca,0.138,0.172,0.222
Birch + tsne,0.087,0.148,0.178
Birch + umap,0.131,0.186,0.261
GMM,0.12,0.173,0.074
GMM + pca,0.098,0.16,0.158
GMM + tsne,0.099,0.164,0.232
GMM + umap,0.119,0.173,0.221
PAM,0.121,0.172,0.131
PAM + pca,0.119,0.178,0.213
PAM + tsne,0.103,0.163,0.267
PAM + umap,0.134,0.186,0.269
Spectral Clustering,0.122,0.18,0.132
Spectral Clustering + pca,0.11,0.174,0.205
Spectral Clustering + tsne,0.117,0.162,0.192
Spectral Clustering + umap,0.132,0.182,0.264
