,ARI,NMI,Silhouette
k-means,0.028,0.035,0.129
k-means + pca,0.038,0.048,0.215
k-means + tsne,0.029,0.035,0.271
k-means + umap,0.028,0.041,0.274
Birch,0.024,0.027,0.054
Birch + pca,0.022,0.044,0.194
Birch + tsne,0.026,0.027,0.192
Birch + umap,0.034,0.042,0.221
GMM,0.0,0.016,0.089
GMM + pca,0.021,0.034,0.188
GMM + tsne,0.037,0.035,0.213
GMM + umap,0.043,0.044,0.243
PAM,0.034,0.04,0.126
PAM + pca,0.034,0.047,0.212
PAM + tsne,0.025,0.036,0.267
PAM + umap,0.029,0.042,0.272
Spectral Clustering,0.029,0.037,0.126
Spectral Clustering + pca,0.032,0.04,0.142
Spectral Clustering + tsne,0.032,0.033,0.137
Spectral Clustering + umap,0.027,0.043,0.249
