,ARI,NMI,Silhouette
k-means,0.144,0.174,0.139
k-means + pca,0.127,0.167,0.311
k-means + tsne,0.12,0.142,0.268
k-means + umap,0.144,0.173,0.307
Birch,0.1,0.139,0.077
Birch + pca,0.127,0.148,0.331
Birch + tsne,0.048,0.09,0.19
Birch + umap,0.118,0.165,0.264
GMM,0.167,0.153,0.103
GMM + pca,0.121,0.143,0.291
GMM + tsne,0.109,0.134,0.251
GMM + umap,0.131,0.153,0.26
PAM,0.109,0.138,0.128
PAM + pca,0.127,0.177,0.312
PAM + tsne,0.119,0.141,0.268
PAM + umap,0.147,0.177,0.306
Spectral Clustering,0.143,0.164,0.142
Spectral Clustering + pca,0.117,0.165,0.311
Spectral Clustering + tsne,0.12,0.148,0.249
Spectral Clustering + umap,0.131,0.162,0.303
