,ARI,NMI,Silhouette
k-means,0.442,0.446,0.195
k-means + pca,0.256,0.328,0.128
k-means + tsne,0.309,0.353,0.135
k-means + umap,0.478,0.447,0.182
Birch,0.273,0.33,0.12
Birch + pca,0.226,0.244,0.208
Birch + tsne,0.223,0.294,0.084
Birch + umap,0.469,0.444,0.165
GMM,0.323,0.402,0.16
GMM + pca,0.28,0.315,0.078
GMM + tsne,0.266,0.314,0.106
GMM + umap,0.348,0.373,0.142
PAM,0.337,0.393,0.159
PAM + pca,0.258,0.325,0.127
PAM + tsne,0.287,0.338,0.125
PAM + umap,0.496,0.453,0.183
Spectral Clustering,0.473,0.455,0.193
Spectral Clustering + pca,0.247,0.307,0.121
Spectral Clustering + tsne,0.371,0.329,0.005
Spectral Clustering + umap,0.493,0.446,0.176
