,ARI,NMI,Silhouette
k-means,0.198,0.268,0.155
k-means + pca,0.169,0.239,0.227
k-means + tsne,0.154,0.23,0.271
k-means + umap,0.183,0.258,0.282
Birch,0.108,0.171,0.073
Birch + pca,0.172,0.223,0.219
Birch + tsne,0.161,0.237,0.203
Birch + umap,0.188,0.259,0.274
GMM,0.15,0.27,0.104
GMM + pca,0.155,0.236,0.17
GMM + tsne,0.122,0.215,0.226
GMM + umap,0.184,0.245,0.192
PAM,0.184,0.253,0.134
PAM + pca,0.168,0.246,0.22
PAM + tsne,0.145,0.229,0.269
PAM + umap,0.185,0.259,0.297
Spectral Clustering,0.199,0.269,0.145
Spectral Clustering + pca,0.164,0.241,0.211
Spectral Clustering + tsne,0.134,0.206,0.198
Spectral Clustering + umap,0.193,0.262,0.283
