,ARI,NMI,Silhouette
k-means,0.209,0.258,0.156
k-means + pca,0.208,0.25,0.242
k-means + tsne,0.189,0.237,0.28
k-means + umap,0.226,0.269,0.309
Birch,0.132,0.187,0.092
Birch + pca,0.186,0.25,0.209
Birch + tsne,0.137,0.191,0.206
Birch + umap,0.192,0.245,0.264
GMM,0.187,0.25,0.104
GMM + pca,0.148,0.205,0.181
GMM + tsne,0.128,0.192,0.223
GMM + umap,0.193,0.244,0.266
PAM,0.2,0.238,0.137
PAM + pca,0.204,0.247,0.236
PAM + tsne,0.186,0.232,0.281
PAM + umap,0.226,0.27,0.307
Spectral Clustering,0.204,0.246,0.153
Spectral Clustering + pca,0.196,0.241,0.223
Spectral Clustering + tsne,0.137,0.192,0.248
Spectral Clustering + umap,0.232,0.253,0.299
