,ARI,NMI,Silhouette
k-means,0.218,0.226,0.155
k-means + pca,0.219,0.227,0.238
k-means + tsne,0.196,0.205,0.266
k-means + umap,0.186,0.198,0.304
Birch,0.184,0.175,0.093
Birch + pca,0.181,0.206,0.212
Birch + tsne,0.097,0.125,0.205
Birch + umap,0.199,0.224,0.256
GMM,0.179,0.217,0.124
GMM + pca,0.1,0.177,0.186
GMM + tsne,0.104,0.127,0.236
GMM + umap,0.115,0.122,0.24
PAM,0.229,0.232,0.156
PAM + pca,0.217,0.225,0.237
PAM + tsne,0.192,0.202,0.266
PAM + umap,0.213,0.221,0.304
Spectral Clustering,0.221,0.23,0.152
Spectral Clustering + pca,0.215,0.221,0.237
Spectral Clustering + tsne,0.192,0.164,0.219
Spectral Clustering + umap,0.198,0.217,0.296
