,ARI,NMI,Silhouette
k-means,0.132,0.157,0.14
k-means + pca,0.102,0.148,0.313
k-means + tsne,0.088,0.114,0.265
k-means + umap,0.127,0.15,0.293
Birch,0.074,0.089,0.071
Birch + pca,0.118,0.135,0.336
Birch + tsne,0.069,0.112,0.215
Birch + umap,0.145,0.143,0.247
GMM,0.044,0.076,0.09
GMM + pca,0.077,0.132,0.282
GMM + tsne,0.074,0.117,0.225
GMM + umap,0.077,0.113,0.212
PAM,0.122,0.136,0.132
PAM + pca,0.112,0.157,0.31
PAM + tsne,0.097,0.127,0.265
PAM + umap,0.126,0.15,0.291
Spectral Clustering,0.12,0.14,0.139
Spectral Clustering + pca,0.103,0.147,0.31
Spectral Clustering + tsne,0.111,0.127,0.174
Spectral Clustering + umap,0.119,0.146,0.278
