,ARI,NMI,Silhouette
k-means,0.038,0.069,0.127
k-means + pca,0.045,0.089,0.32
k-means + tsne,0.039,0.069,0.269
k-means + umap,0.052,0.083,0.279
Birch,0.029,0.06,0.053
Birch + pca,0.048,0.074,0.324
Birch + tsne,0.046,0.065,0.203
Birch + umap,0.051,0.079,0.217
GMM,0.043,0.069,0.088
GMM + pca,0.047,0.089,0.293
GMM + tsne,0.042,0.067,0.21
GMM + umap,0.027,0.069,0.227
PAM,0.039,0.065,0.124
PAM + pca,0.047,0.089,0.284
PAM + tsne,0.044,0.072,0.264
PAM + umap,0.047,0.08,0.266
Spectral Clustering,0.048,0.076,0.124
Spectral Clustering + pca,0.048,0.089,0.288
Spectral Clustering + tsne,0.035,0.063,0.209
Spectral Clustering + umap,0.049,0.081,0.272
