,ARI,NMI,Silhouette
k-means,0.223,0.276,0.236
k-means + pca,0.199,0.265,0.324
k-means + tsne,0.221,0.267,0.278
k-means + umap,0.235,0.276,0.296
Birch,0.285,0.296,0.222
Birch + pca,0.233,0.237,0.35
Birch + tsne,0.191,0.234,0.217
Birch + umap,0.198,0.264,0.248
GMM,0.157,0.229,0.204
GMM + pca,0.246,0.234,0.221
GMM + tsne,0.161,0.237,0.253
GMM + umap,0.194,0.236,0.259
PAM,0.246,0.283,0.215
PAM + pca,0.226,0.27,0.313
PAM + tsne,0.229,0.272,0.274
PAM + umap,0.205,0.262,0.292
Spectral Clustering,0.224,0.262,0.237
Spectral Clustering + pca,0.178,0.244,0.312
Spectral Clustering + tsne,0.209,0.281,0.05
Spectral Clustering + umap,0.244,0.278,0.192
