,ARI,NMI,Silhouette
k-means,0.125,0.151,0.142
k-means + pca,0.124,0.155,0.226
k-means + tsne,0.09,0.12,0.267
k-means + umap,0.128,0.16,0.285
Birch,0.107,0.117,0.077
Birch + pca,0.099,0.143,0.214
Birch + tsne,0.097,0.121,0.216
Birch + umap,0.165,0.161,0.227
GMM,0.102,0.111,0.081
GMM + pca,0.131,0.141,0.198
GMM + tsne,0.06,0.113,0.241
GMM + umap,0.099,0.145,0.268
PAM,0.114,0.139,0.129
PAM + pca,0.12,0.159,0.226
PAM + tsne,0.097,0.125,0.273
PAM + umap,0.12,0.149,0.278
Spectral Clustering,0.126,0.146,0.138
Spectral Clustering + pca,0.128,0.152,0.155
Spectral Clustering + tsne,0.092,0.125,0.122
Spectral Clustering + umap,0.115,0.146,0.276
