,ARI,NMI,Silhouette
k-means,0.278,0.383,0.162
k-means + pca,0.214,0.333,0.325
k-means + tsne,0.259,0.367,0.379
k-means + umap,0.301,0.403,0.33
Birch,0.293,0.373,0.14
Birch + pca,0.28,0.333,0.372
Birch + tsne,0.212,0.337,0.342
Birch + umap,0.303,0.402,0.328
GMM,0.231,0.355,0.089
GMM + pca,0.246,0.344,0.276
GMM + tsne,0.219,0.367,0.267
GMM + umap,0.299,0.391,0.277
PAM,0.306,0.39,0.157
PAM + pca,0.215,0.342,0.317
PAM + tsne,0.266,0.367,0.382
PAM + umap,0.293,0.402,0.322
Spectral Clustering,0.302,0.395,0.165
Spectral Clustering + pca,0.191,0.321,0.303
Spectral Clustering + tsne,0.267,0.364,0.083
Spectral Clustering + umap,0.275,0.391,0.315
