,ARI,NMI,Silhouette
k-means,0.642,0.667,0.28
k-means + pca,0.398,0.481,0.191
k-means + tsne,0.592,0.629,0.255
k-means + umap,0.723,0.708,0.277
Birch,0.513,0.61,0.244
Birch + pca,0.238,0.273,0.247
Birch + tsne,0.748,0.69,0.253
Birch + umap,0.796,0.738,0.274
GMM,0.572,0.671,0.19
GMM + pca,0.282,0.439,0.145
GMM + tsne,0.623,0.659,0.225
GMM + umap,0.805,0.743,0.271
PAM,0.648,0.665,0.279
PAM + pca,0.402,0.479,0.19
PAM + tsne,0.624,0.645,0.261
PAM + umap,0.741,0.714,0.277
Spectral Clustering,0.782,0.739,0.281
Spectral Clustering + pca,0.381,0.464,0.185
Spectral Clustering + tsne,0.579,0.607,0.154
Spectral Clustering + umap,0.805,0.744,0.271
