,ARI,NMI,Silhouette
k-means,0.323,0.348,0.057
k-means + pca,0.31,0.347,0.052
k-means + tsne,0.18,0.228,0.024
k-means + umap,0.248,0.286,0.036
Birch,0.229,0.207,0.015
Birch + pca,0.256,0.272,0.028
Birch + tsne,0.16,0.21,0.019
Birch + umap,0.181,0.209,0.042
GMM,0.13,0.166,0.014
GMM + pca,0.233,0.294,0.035
GMM + tsne,0.171,0.234,0.018
GMM + umap,0.19,0.271,0.03
PAM,0.122,0.176,0.034
PAM + pca,0.275,0.313,0.051
PAM + tsne,0.179,0.228,0.022
PAM + umap,0.259,0.281,0.034
Spectral Clustering,0.292,0.305,0.05
Spectral Clustering + pca,0.269,0.333,0.051
Spectral Clustering + tsne,0.148,0.213,0.02
Spectral Clustering + umap,0.182,0.267,0.028
