,ARI,NMI,Silhouette
k-means,0.547,0.484,0.083
k-means + pca,0.541,0.479,0.083
k-means + tsne,0.377,0.358,0.067
k-means + umap,0.512,0.442,0.075
Birch,0.439,0.337,0.055
Birch + pca,0.559,0.457,0.077
Birch + tsne,0.249,0.247,0.038
Birch + umap,0.512,0.447,0.075
GMM,0.118,0.169,0.055
GMM + pca,0.349,0.39,0.077
GMM + tsne,0.327,0.296,0.058
GMM + umap,0.526,0.433,0.074
PAM,0.264,0.3,0.066
PAM + pca,0.572,0.495,0.082
PAM + tsne,0.31,0.331,0.062
PAM + umap,0.489,0.436,0.074
Spectral Clustering,0.538,0.458,0.08
Spectral Clustering + pca,0.554,0.486,0.082
Spectral Clustering + tsne,0.332,0.337,0.063
Spectral Clustering + umap,0.477,0.426,0.074
