,ARI,NMI,Silhouette
k-means,0.588,0.528,0.083
k-means + pca,0.567,0.508,0.244
k-means + tsne,0.334,0.381,0.276
k-means + umap,0.464,0.448,0.334
Birch,0.413,0.344,0.048
Birch + pca,0.434,0.429,0.197
Birch + tsne,0.291,0.336,0.186
Birch + umap,0.497,0.471,0.406
GMM,0.318,0.327,0.03
GMM + pca,0.541,0.507,0.198
GMM + tsne,0.185,0.276,0.216
GMM + umap,0.431,0.428,0.316
PAM,0.272,0.309,0.053
PAM + pca,0.398,0.448,0.202
PAM + tsne,0.374,0.385,0.274
PAM + umap,0.533,0.458,0.375
Spectral Clustering,0.612,0.517,0.076
Spectral Clustering + pca,0.615,0.522,0.24
Spectral Clustering + tsne,0.311,0.375,0.272
Spectral Clustering + umap,0.502,0.458,0.363
