,ARI,NMI,Silhouette
k-means,0.357,0.436,0.101
k-means + pca,0.331,0.404,0.236
k-means + tsne,0.367,0.443,0.414
k-means + umap,0.461,0.545,0.387
Birch,0.291,0.405,0.069
Birch + pca,0.229,0.367,0.161
Birch + tsne,0.366,0.429,0.365
Birch + umap,0.311,0.388,0.405
GMM,0.378,0.522,0.042
GMM + pca,0.308,0.446,0.105
GMM + tsne,0.343,0.397,0.326
GMM + umap,0.429,0.529,0.339
PAM,0.253,0.328,0.062
PAM + pca,0.333,0.403,0.231
PAM + tsne,0.371,0.455,0.409
PAM + umap,0.394,0.509,0.379
Spectral Clustering,0.44,0.521,0.096
Spectral Clustering + pca,0.351,0.42,0.233
Spectral Clustering + tsne,0.311,0.428,0.373
Spectral Clustering + umap,0.424,0.544,0.34
