,ARI,NMI,Silhouette
k-means,0.57,0.675,0.112
k-means + pca,0.566,0.669,0.267
k-means + tsne,0.696,0.655,0.455
k-means + umap,0.577,0.659,0.402
Birch,0.684,0.629,0.105
Birch + pca,0.808,0.74,0.313
Birch + tsne,0.632,0.632,0.412
Birch + umap,0.788,0.721,0.53
GMM,0.75,0.721,0.093
GMM + pca,0.704,0.693,0.287
GMM + tsne,0.639,0.648,0.431
GMM + umap,0.603,0.669,0.389
PAM,0.485,0.56,0.085
PAM + pca,0.81,0.745,0.327
PAM + tsne,0.554,0.636,0.411
PAM + umap,0.835,0.756,0.568
Spectral Clustering,0.846,0.771,0.127
Spectral Clustering + pca,0.835,0.765,0.325
Spectral Clustering + tsne,0.485,0.586,0.388
Spectral Clustering + umap,0.837,0.759,0.565
