,ARI,NMI,Silhouette
k-means,0.495,0.541,0.091
k-means + pca,0.469,0.541,0.241
k-means + tsne,0.378,0.399,0.292
k-means + umap,0.47,0.519,0.367
Birch,0.367,0.418,0.06
Birch + pca,0.508,0.466,0.199
Birch + tsne,0.336,0.347,0.231
Birch + umap,0.412,0.489,0.382
GMM,0.371,0.446,0.031
GMM + pca,0.482,0.53,0.199
GMM + tsne,0.336,0.315,0.212
GMM + umap,0.516,0.533,0.29
PAM,0.318,0.344,0.064
PAM + pca,0.425,0.477,0.212
PAM + tsne,0.369,0.4,0.291
PAM + umap,0.444,0.504,0.389
Spectral Clustering,0.477,0.553,0.089
Spectral Clustering + pca,0.475,0.543,0.237
Spectral Clustering + tsne,0.283,0.349,0.28
Spectral Clustering + umap,0.453,0.506,0.373
