,ARI,NMI,Silhouette
k-means,0.557,0.49,0.084
k-means + pca,0.312,0.344,0.201
k-means + tsne,0.267,0.283,0.246
k-means + umap,0.524,0.466,0.383
Birch,0.427,0.329,0.047
Birch + pca,0.475,0.382,0.195
Birch + tsne,0.208,0.237,0.214
Birch + umap,0.441,0.396,0.45
GMM,0.481,0.383,0.081
GMM + pca,0.365,0.348,0.179
GMM + tsne,0.315,0.254,0.207
GMM + umap,0.266,0.354,0.293
PAM,0.296,0.281,0.065
PAM + pca,0.492,0.477,0.222
PAM + tsne,0.385,0.351,0.267
PAM + umap,0.538,0.468,0.383
Spectral Clustering,0.562,0.481,0.081
Spectral Clustering + pca,0.573,0.494,0.228
Spectral Clustering + tsne,0.401,0.353,0.267
Spectral Clustering + umap,0.484,0.459,0.372
