,ARI,NMI,Silhouette
k-means,0.147,0.152,0.048
k-means + pca,0.112,0.127,0.11
k-means + tsne,0.073,0.09,0.246
k-means + umap,0.099,0.112,0.273
Birch,0.059,0.069,0.006
Birch + pca,0.038,0.082,0.055
Birch + tsne,0.054,0.067,0.19
Birch + umap,0.114,0.102,0.257
GMM,0.058,0.041,0.015
GMM + pca,0.102,0.107,0.088
GMM + tsne,0.049,0.084,0.218
GMM + umap,0.1,0.099,0.222
PAM,0.047,0.06,0.037
PAM + pca,0.119,0.126,0.107
PAM + tsne,0.086,0.092,0.244
PAM + umap,0.107,0.113,0.272
Spectral Clustering,0.092,0.113,0.037
Spectral Clustering + pca,0.116,0.122,0.109
Spectral Clustering + tsne,0.082,0.091,0.241
Spectral Clustering + umap,0.098,0.109,0.27
