,ARI,NMI,Silhouette
k-means,0.268,0.226,0.056
k-means + pca,0.169,0.175,0.14
k-means + tsne,0.145,0.144,0.234
k-means + umap,0.226,0.181,0.285
Birch,0.104,0.127,0.023
Birch + pca,0.127,0.149,0.085
Birch + tsne,0.135,0.118,0.19
Birch + umap,0.232,0.192,0.311
GMM,-0.005,0.015,0.024
GMM + pca,0.027,0.029,0.097
GMM + tsne,0.054,0.058,0.224
GMM + umap,0.198,0.166,0.268
PAM,0.08,0.078,0.042
PAM + pca,0.188,0.174,0.137
PAM + tsne,0.144,0.14,0.234
PAM + umap,0.131,0.141,0.267
Spectral Clustering,0.225,0.197,0.05
Spectral Clustering + pca,0.246,0.213,0.144
Spectral Clustering + tsne,0.141,0.141,0.238
Spectral Clustering + umap,0.216,0.176,0.276
