,ARI,NMI,Silhouette
k-means,0.254,0.248,0.056
k-means + pca,0.214,0.245,0.188
k-means + tsne,0.161,0.176,0.248
k-means + umap,0.193,0.205,0.277
Birch,0.176,0.157,0.019
Birch + pca,0.144,0.202,0.111
Birch + tsne,0.209,0.17,0.185
Birch + umap,0.277,0.228,0.316
GMM,0.06,0.07,0.009
GMM + pca,0.114,0.168,0.1
GMM + tsne,0.094,0.15,0.225
GMM + umap,0.154,0.207,0.219
PAM,0.112,0.146,0.039
PAM + pca,0.211,0.239,0.169
PAM + tsne,0.176,0.179,0.247
PAM + umap,0.191,0.206,0.276
Spectral Clustering,0.197,0.225,0.046
Spectral Clustering + pca,0.24,0.242,0.187
Spectral Clustering + tsne,0.133,0.162,0.243
Spectral Clustering + umap,0.184,0.197,0.27
