,ARI,NMI,Silhouette
k-means,0.85,0.787,0.155
k-means + pca,0.84,0.773,0.153
k-means + tsne,0.627,0.602,0.122
k-means + umap,0.87,0.804,0.151
Birch,0.793,0.702,0.139
Birch + pca,0.862,0.789,0.149
Birch + tsne,0.543,0.56,0.112
Birch + umap,0.87,0.804,0.151
GMM,0.651,0.624,0.106
GMM + pca,0.905,0.842,0.152
GMM + tsne,0.343,0.425,0.078
GMM + umap,0.88,0.811,0.151
PAM,0.687,0.629,0.138
PAM + pca,0.423,0.557,0.131
PAM + tsne,0.599,0.59,0.119
PAM + umap,0.87,0.805,0.151
Spectral Clustering,0.892,0.823,0.154
Spectral Clustering + pca,0.9,0.828,0.153
Spectral Clustering + tsne,0.73,0.656,0.131
Spectral Clustering + umap,0.871,0.802,0.151
