,ARI,NMI,Silhouette
k-means,0.675,0.604,0.102
k-means + pca,0.671,0.603,0.259
k-means + tsne,0.481,0.45,0.269
k-means + umap,0.643,0.579,0.445
Birch,0.552,0.477,0.079
Birch + pca,0.427,0.405,0.207
Birch + tsne,0.311,0.343,0.242
Birch + umap,0.646,0.578,0.443
GMM,0.45,0.416,0.087
GMM + pca,0.565,0.515,0.208
GMM + tsne,0.368,0.356,0.264
GMM + umap,0.6,0.568,0.434
PAM,0.437,0.364,0.083
PAM + pca,0.352,0.416,0.217
PAM + tsne,0.317,0.362,0.266
PAM + umap,0.638,0.58,0.444
Spectral Clustering,0.69,0.607,0.099
Spectral Clustering + pca,0.697,0.607,0.258
Spectral Clustering + tsne,0.351,0.362,0.267
Spectral Clustering + umap,0.619,0.568,0.44
