,ARI,NMI,Silhouette
k-means,0.533,0.621,0.134
k-means + pca,0.482,0.56,0.274
k-means + tsne,0.517,0.61,0.464
k-means + umap,0.504,0.583,0.434
Birch,0.464,0.566,0.114
Birch + pca,0.532,0.554,0.252
Birch + tsne,0.418,0.525,0.368
Birch + umap,0.46,0.588,0.467
GMM,0.702,0.666,0.087
GMM + pca,0.464,0.575,0.211
GMM + tsne,0.508,0.596,0.443
GMM + umap,0.524,0.62,0.408
PAM,0.362,0.426,0.102
PAM + pca,0.475,0.558,0.264
PAM + tsne,0.514,0.608,0.464
PAM + umap,0.546,0.642,0.467
Spectral Clustering,0.559,0.658,0.131
Spectral Clustering + pca,0.546,0.624,0.271
Spectral Clustering + tsne,0.515,0.607,0.452
Spectral Clustering + umap,0.538,0.642,0.439
